firearm_wpn_id,name,physical_atk,blood_atk,arcane_atk,fire_atk,bolt_atk,slow_poison,rapid_poison,strength_req,strength_scl,skill_req,skill_scl,bloodtinge_req,bloodtinge_scale,arcane_req,arcane_scl,durability,qs_bullet
1,Cannon,0.0,200.0,0.0,0.0,0.0,0.0,0.0,30.0,,13.0,,0.0,E,0.0,,200,12.0
2,Church Cannon,0.0,160.0,0.0,0.0,0.0,0.0,0.0,27.0,,0.0,,16.0,E,0.0,,200,10.0
3,Evelyn,0.0,60.0,0.0,0.0,0.0,0.0,0.0,9.0,,11.0,,18.0,B,0.0,,100,1.0
4,Fist of Gratia,60.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,D,9.0,,5.0,,0.0,,200,0.0
5,Flamesprayer,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,,8.0,,0.0,,8.0,D,100,1.0
6,Gatling Gun,0.0,80.0,0.0,0.0,0.0,0.0,0.0,28.0,,12.0,,0.0,E,0.0,,200,1.0
7,Hunter Blunderbuss,0.0,20.0,0.0,0.0,0.0,0.0,0.0,7.0,,9.0,,5.0,D,0.0,,150,1.0
8,Hunter Pistol,0.0,70.0,0.0,0.0,0.0,0.0,0.0,7.0,,9.0,,5.0,D,0.0,,100,1.0
9,Hunter's Torch,0.0,0.0,0.0,50.0,0.0,0.0,0.0,6.0,,0.0,,0.0,,0.0,B,150,0.0
10,Loch Shield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,,8.0,,0.0,,0.0,,160,0.0
11,Ludwig's Rifle,0.0,20.0,0.0,0.0,0.0,0.0,0.0,9.0,,10.0,,9.0,E,0.0,,150,1.0
12,Piercing Rifle,0.0,80.0,0.0,0.0,0.0,0.0,0.0,9.0,,10.0,,9.0,D,0.0,,140,1.0
13,Repeating Pistol,0.0,90.0,0.0,0.0,0.0,0.0,0.0,10.0,,11.0,,8.0,D,0.0,,80,2.0
14,Rosmarinus,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,,8.0,,0.0,,8.0,B,100,1.0
15,Torch,0.0,0.0,0.0,25.0,0.0,0.0,0.0,6.0,,0.0,,0.0,,0.0,D,100,0.0
16,Wooden Shield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,,8.0,,0.0,,0.0,,120,0.0
