trick_wpn_id,name,physical_atk,blood_atk,arcane_atk,fire_atk,bolt_atk,slow_poison,rapid_poison,strength_req,strength_scl,skill_req,skill_scl,bloodtinge_req,bloodtinge_scl,arcane_req,arcane_scl,durability,qs_bullet,rally
1,Amygdalan Arm,80.0,0.0,40.0,0.0,0.0,0.0,0.0,17.0,C,9.0,E,0.0,,0.0,D,200,0.0,
2,Beast Claw,75.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,D,12.0,E,0.0,,0.0,D,180,0.0,
3,Beast Cutter,92.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,D,9.0,E,0.0,,0.0,E,230,0.0,
4,Beasthunter Saif,90.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,E,11.0,D,0.0,,0.0,D,200,0.0,
5,Blade of Mercy,60.0,0.0,30.0,0.0,0.0,0.0,0.0,7.0,,11.0,C,0.0,,0.0,D,200,0.0,30.0
6,Bloodletter,90.0,90.0,0.0,0.0,0.0,0.0,0.0,14.0,C,6.0,,16.0,B,0.0,D,270,0.0,
7,Boom Hammer,90.0,0.0,0.0,60.0,0.0,0.0,0.0,14.0,C,8.0,E,0.0,,0.0,D,100,0.0,
8,Burial Blade,80.0,0.0,30.0,0.0,0.0,0.0,0.0,10.0,E,12.0,C,0.0,,0.0,D,200,0.0,
9,Chikage,92.0,92.0,0.0,0.0,0.0,0.0,30.0,10.0,E,14.0,D,12.0,C,0.0,D,120,0.0,40.0
10,Church Pick,88.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,E,14.0,D,0.0,,0.0,D,250,0.0,
11,Holy Moonlight Sword,90.0,0.0,50.0,0.0,0.0,0.0,0.0,16.0,D,12.0,D,0.0,,14.0,C,250,0.0,
12,Hunter Axe,98.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,D,8.0,E,0.0,,0.0,D,250,0.0,75.0
13,Kirkhammer,105.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,C,10.0,E,0.0,,0.0,D,250,0.0,60.0
14,Kos Parasite,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,20.0,A,600,2.0,
15,Logarius' Wheel,100.0,0.0,25.0,0.0,0.0,0.0,0.0,20.0,C,12.0,,0.0,,10.0,D,300,0.0,30.0
16,Ludwig's Holy Blade,100.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,D,12.0,D,0.0,,0.0,D,250,0.0,60.0
17,Rakuyo,82.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,20.0,C,0.0,,0.0,D,200,0.0,
18,Reiterpallasch,75.0,75.0,0.0,0.0,0.0,0.0,0.0,8.0,E,12.0,C,10.0,E,0.0,D,120,1.0,40.0
19,Rifle Spear,85.0,85.0,0.0,0.0,0.0,0.0,0.0,10.0,E,11.0,D,9.0,D,0.0,D,180,1.0,40.0
20,Saw Cleaver,90.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,D,7.0,E,0.0,,0.0,D,200,0.0,35.0
21,Saw Spear,85.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,D,8.0,D,0.0,,0.0,D,200,0.0,35.0
22,Simon's Bowblade,80.0,80.0,0.0,0.0,0.0,0.0,0.0,8.0,,15.0,C,9.0,C,0.0,D,140,1.0,
23,Stake Driver,85.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,D,9.0,D,0.0,,0.0,D,200,0.0,35.0
24,Threaded Cane,78.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,E,9.0,C,0.0,,0.0,D,200,0.0,35.0
25,Tonitrus,80.0,0.0,0.0,0.0,40.0,0.0,0.0,12.0,D,8.0,E,0.0,,0.0,D,100,0.0,45.0
26,Whirligig Saw,95.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,B,12.0,E,0.0,,0.0,D,230,0.0,
